Term,Source,Definition,UF,USE,BT,NT,RT,First_Letter
Environmental factors for heat-related illness,Safety Manual,"working conditions that increase susceptibility for heat-related illness such as air temperature, relative humidity, radiant heat from the sun and other sources, conductive heat sources such as the ground, air movement, workload (i.e. heavy, medium, or low) and duration, and personal protective equipment worn by employees. Measurement of environmental factors is not required by WAC 296-62-095.",,,,,,E
environmental hearing,Desgin Manual,"A formal or informal hearing documenting that social, economic, and environmental impacts have been considered and that public opinion has been solicited.",,,hearing,,,e
Environmental Impact Statement (EIS) (Airport),State-Managed Airport Handbook,"An EIS is a document that provides a discussion of the significant environmental impacts which would occur as a result of a proposed project, and informs decision-makers and the public of the reasonable alternatives which would avoid or minimize adverse impacts. Public participation and consultation with other federal, state, and local agencies is a cornerstone of the EIS process.",,,,,Environmental Impact Statement (EIS) (Design),E
Environmental Impact Statement (EIS) (Airport),State-Managed Airport Handbook,"An EIS is a document that provides a discussion of the significant environmental impacts which would occur as a result of a proposed project, and informs decision-makers and the public of the reasonable alternatives which would avoid or minimize adverse impacts. Public participation and consultation with other federal, state, and local agencies is a cornerstone of the EIS process.",,,,,Environmental Impact Statement (EIS) (Local Agency),E
expectancy,Roadside Manual,"The driver’s readiness to respond to events, situations, or the presentation of information. It is primarily a function of the driver’s experience.",,,,,,e
Environmental Impact Statement (EIS) (Design),Desgin Manual,"A detailed written statement of a proposed course of action, project alternatives, and possible impacts of the proposal.",,,,,Environmental Impact Statement (EIS) (Local Agency),E
Environmental Impact Statement (EIS) (Local Agency),Local Agency Guidelines,"a detailed written statement of project environmental effects required by state and/or federal law. This term refers to either a Draft or Final Environmental Impact Statement, or both, depending on context.",,,,,Environmental Impact Statement (EIS) (Airport),E
Environmental Impact Statement (EIS) (Local Agency),Local Agency Guidelines,"a detailed written statement of project environmental effects required by state and/or federal law. This term refers to either a Draft or Final Environmental Impact Statement, or both, depending on context.",,,,,Environmental Impact Statement (EIS) (Design),E
Environmental Permit,Utilities Manual,"A document required by law that authorizes a specific type of activity under certain environmental conditions. If required, environmental permits are generally needed prior to the start of any highway construction work, including utility work. Such work is to be included under WSDOT’s environmental permits.",,,,,,E
Environmental Resource Area,Roadside Manual,"Areas that have been identified in the field by a biologist as having high environmental resource value. Environmental Resource Areas may include (but are not limited to): stream corridors; oak woodlands, or other high quality habitat areas designated as locally or regionally important; known habitats for state or federal endangered, threatened, or priority species; and rare or sensitive plant communities.",,,,,,E
Environmental Review,Environment Manual,Is the consideration of environmental factors required by NEPA and SEPA. The “environmental review process” is the procedure used by agencies and others to give appropriate consideration to the environment in decision making.,,,,,,E
Environmental Review Summary (ERS),Desgin Manual,"(see Project Summary) Part of the Project Summary document, the ERS identifies environmental permits and approvals. It is prepared in the region and is required for Design Approval.",,,,,Project Summary,E
ephemeral stream,Highway Runoff Manual,"A stream or portion of a stream that flows in direct response to precipitation, receiving little or no water from groundwater or snowmelt (also known as a seasonal stream).",,,,,,e
Equal Employment Opportunity (EEO),Local Agency Guidelines,A general term referring to all contract provisions relative to EEO.,,,,,,E
Equivalent,Safety Manual,"means alternative designs, materials, or methods to protect against a hazard which the employer can demonstrate and will provide an equal or greater degree of safety for employees than the methods, materials or designs specified in this standard.",,,,,,E
equivalent area,Highway Runoff Manual,"An impervious surface area equal in size, located in the same drainage basin (threshold discharge area), and having similar use characteristics (for example, similar average daily traffic) to the impervious surface. The equivalent area concept generally applies to engineered dispersion areas and may apply to natural dispersion areas, as described in the following: The existing site currently collects runoff in a ditch or pipe and discharges to a surface water. By changing this condition to natural dispersion (BMP FC.01), a surface discharge is eliminated, resulting in a flow control improvement. Equivalent area trades for natural dispersion are allowed for this specific case.",,,,,,e
Ergonomic Interventions,Safety Manual,"A redesign of working methods, job-tasks, equipment, and/or workplace design to reduce and/or eliminate ergonomic risk factors.",,,,,,E
Ergonomic Risk Factors,Safety Manual,"Stressors to the musculoskeletal system that research has shown to be associated with an increased risk of developing musculoskeletal disorders. Major risk factors include, but are not limited to, the use of heavy exertion or force, awkward postures, repetitive movements, vibration, and contact stress.",,,,,,E
Ergonomics,Safety Manual,"Per the Human Factors and Ergonomics Society, ergonomics is 'the scientific discipline concerned with the understanding of interactions among humans and other elements of a system, and the profession that applies theory, principles, data, and other methods to design in order to optimize human well-being and overall system performance.'",,,,,,E
Ergonomics-Related Injuries,Safety Manual,Usually termed musculoskeletal disorders (MSDs). These are injuries that are caused by repeated exposure to ergonomic risk factors. Most MSDs are classified as occupational illnesses.,,,,,,E
Erosion (Highway Runoff),Highway Runoff Manual,"The detachment and movement of soil or rock fragments by water, wind, ice, or gravity.",,,,,Erosion (Roadside),E
erosion (prevention) and sedimentation control,Highway Runoff Manual,"Any temporary or permanent measures taken to reduce erosion, trap sediment, and ensure sediment-laden water does not leave the site.",,,,,,e
erosion (prevention) and sedimentation control,Roadside Manual,"Any temporary or permanent measures taken to reduce erosion, trap sediment, and ensure sediment-laden water does not leave the site.",,,,,,e
Erosion (Roadside),Roadside Manual,"The wearing away of the land surface by running water, wind, ice, or other geological agents, including such processes as gravitational creep. Also detachment and movement of soil or rock fragments by human and animal activities.",,,,,Erosion (Highway Runoff),E
Filter,Safety Manual,A component used in respirators to remove particulates or liquid aerosols from the inspired air.,,,,,,F
erosion control blanket,Highway Runoff Manual,A blanket made of natural plant material or synthetic fibers that is rolled out and fastened to the soil surface to protect soil from raindrop and sheet erosion.,,,,,,e
Escort Vehicles,Bicycle Racing Guidelines,"Escort vehicles are motor vehicles used to designate the front and back of a rolling enclosure and identified by signs and rotating or flashing amber lights. In some cycling events, a police escort may precede the lead escort vehicle. Larger races may also utilize motorcycle marshals as escort vehicles to assist in the management of race enclosures.",,,,,,E
Essential Public Facilities,Environment Manual,"As defined under GMA, essential public facilities that are typically difficult to site, including airports, state or regional transportation facilities, and services of statewide significance as defined in RCW 47.06.140 (including improvements to such facilities and services identified in the statewide multimodal plan) and other public facilities that are typically difficult to site.",,,,,,E
Establishment,Environment Manual,Converting an upland area to a wetland or other aquatic resource. Establishment results in a gain in wetland area and functions. (Equivalent to the term ‘creation’ used previously.),,,,,,E
Estimator,Cost Estimating Manual,A knowledgeable professional assigned to evaluate the probable cost of projects.,,,,,,E
estuarine wetland,Highway Runoff Manual,"Generally, an eelgrass bed, salt marsh, or rocky sand flat or mudflat intertidal area where freshwater and saltwater mix (specifically, a tidal wetland with salinity greater than 0.5 parts per thousand, usually partially enclosed by land, but with partially obstructed or sporadic access to the open ocean).",,,,,,e
eutrophication,Highway Runoff Manual,"The addition of nutrients, especially nitrogen and phosphorus, to a body of water, resulting in high organic production rates that may overcome natural self-purification processes. Frequently resulting from pollutant sources on adjacent lands, eutrophication produces undesirable effects, including algal blooms, seasonally low oxygen levels, and reduced survival opportunities for fish and invertebrates.",,,,,,e
evapotranspiration,Highway Runoff Manual,The collective term for the processes of evaporation and plant transpiration by which water is returned to the atmosphere.,,,,,,e
Event Checklist,Bicycle Racing Guidelines,"An event checklist is a list of cycling event-related tasks prepared by the race organizer to ensure a safe, well-planned cycling event.",,,,,,E
Event Organizer,Bicycle Racing Guidelines,The event organizer is the person or organization responsible for organizing a cycling event.,,,,,,E
Evolutionarily Significant Unit (ESU),Local Agency Guidelines,"A designation the National Marine Fisheries (NMFS) uses for certain, genetically unique, local salmonid populations or 'runs.' These designations are treated as individual species under the act.",,,,,,E
Excepted Parcel Certificate #3s,Right of Way Manual,"Projects where the right of way has not been cleared and it is necessary for the contractor to work around certain parcels. This type of certificate can only be used in very unusual circumstances and with prior approval of FHWA. Under this type of certificate, the agency ensures that both property owners and occupants of residences, businesses, farms, or nonprofit organizations who have not yet moved from the R/W are protected against unnecessary inconvenience and disproportionate injury or any action coercive in nature.",,,,,,E
Excess Right of Way,Right of Way Manual,Property acquired as operating right of way (R/W) but no longer needed as such. A plan revision mapping the excess R/W area is necessary prior to disposal,,,,,,E
Exempt Projects,Environment Manual,"Listed in federal and state regulations (40 CFR 93.126 and WAC 173- 420-110), these are mostly projects outside nonattainment/maintenance areas that maintain existing transportation facilities or are considered to have a neutral impact on air quality. See also WAC 173-420-120 for projects exempt from regional analysis.",,,,,,E
exfiltration,Highway Runoff Manual,"The downward movement of runoff through the bottom of an infiltration facility into the soil layer, or the downward movement of water through soil.",,,,,,e
existing land cover/existing site conditions,Highway Runoff Manual,"The conditions (ground cover, slope, drainage patterns) of a site as they existed on the first day the project entered the design phase.",,,,,,e
Existing Noise Level,Environment Manual,Modeled traffic noise level(s) based the Existing year traffic data.,,,,,,E
Existing R/W,Right of Way Manual,"This is land that is already incorporated into the roadway facility or land certified under a previous federal aid project. Permits, easements, temporary construction easements (TCE), and slope easements are generally considered R/W acquisition.",,,,,,E
existing roadway prism,Highway Runoff Manual,The limit of embankment or excavation work required to construct the roadway. This limit is further defined as the catch point of a cut or fill with the existing ground.,,,,,,e
exit curve,Desgin Manual,The curve of the left edge of the roadway that leads out of the circulating roadway (see Design Manual Chapter 1320).,,,,,,e
exit width,Desgin Manual,The width of an exit leg at the inscribed circle (see Design Manual Chapter 1320).,,,,,,e
exotic species,Roadside Manual,A species found in but not native to a particular area.,,,,,,e
expose (Roadside Policy),Roadside Manual,"A roadside restoration strategy, the intent of which is to preserve or open a visual sightline, or to remove vegetation for operational purposes.",,,,,expose (Roadside),e
expose (Roadside),Roadside Manual,"A roadside treatment strategy, the aim of which is to preserve or open a visual sight line, or remove vegetation for operational purposes, such as in the Design Clear Zone.",,,,,expose (Roadside Policy),e
Exposure (Environmental Health and Safety),Environmental Health and Safety Manual,"Physical contact of a person with any material (solid, liquid, or gas) or any form of energy (temperature extreme, electricity, laser, ionizing or non-ionizing radiation, etc.).",,,,,Exposure (Safety),E
Exposure (Safety),Safety Manual,"The contact an employee has with a toxic substance, harmful physical agent, or oxygen deficient condition. Exposure can occur through various routes of entry, such as inhalation, ingestion, skin contact, or skin absorption.",,,,,Exposure (Environmental Health and Safety),E
Exposure Incident,Safety Manual,"A specific eye, mouth, other mucous membrane, non- intact skin, or parenteral contact with blood or other potentially infectious materials that resulted from the performance of an employeeâ€™s duties.",,,,,,E
Exposure Limit,Safety Manual,"The maximum allowable concentration of a contaminant in the air to which an individual may be exposed. These may be time-weighted averages, excursion limits, ceiling limits, and short-term limits.",,,,,,E
expressway,Desgin Manual,A divided highway that has a minimum of two lanes in each direction for the exclusive use of traffic and that may or may not have grade separations at intersections. A transportation context characteristic that is designated for a divided highway with limited access that provides regional mobility. See Exhibit 1102-2 for more details.,,,,,,e
Extension of Time,Utilities Manual,An extension of the one-year allotted time period to begin construction of an approved utility installation.,,,,,,E
External Cause,Emergency Funding Manual,An outside force or phenomenon separate from the damaged element and not primarily the result of an existing condition.,,,,,,E
extrude,Desgin Manual,A procedure for applying marking material to a surface by forcing the material through a die to give it a certain shape.,,,,,,e
Facilities Control Record Number (FCR#),Right of Way Manual,"The number assigned to each site and building owned, leased, and/or operated by WSDOT.",,,,,,F
Facility,Desgin Manual,"All or any portion of buildings, structures, improvements, elements, and pedestrian or vehicular routes located in a public right of way.",,,,,Facility (Roadside),F
Facility,Desgin Manual,"All or any portion of buildings, structures, improvements, elements, and pedestrian or vehicular routes located in a public right of way.",,,,,Facility (Utilities),F
Facility,Terminal Design Manual,"All or any portion of buildings, structures, improvements, elements, and pedestrian or vehicular routes located in a public right of way.",,,,,Facility (Roadside),F
Facility,Terminal Design Manual,"All or any portion of buildings, structures, improvements, elements, and pedestrian or vehicular routes located in a public right of way.",,,,,Facility (Utilities),F
Facility (Roadside),Roadside Manual,"All or any portion of buildings, structures, vehicles, equipment, roads, walks, parking lots, or other real or personal property or interest in such property.",,,,,Facility,F
Facility (Roadside),Roadside Manual,"All or any portion of buildings, structures, vehicles, equipment, roads, walks, parking lots, or other real or personal property or interest in such property.",,,,,Facility (Utilities),F
Facility (Utilities),Utilities Manual,"A general term referring to highway appurtenances necessary for the operation of the highway, such as structures, drainage facilities, traffic signals, and similar objects or devices. For highway real estate purposes, the term does not include pit sites, park & ride lots located outside the highway right of way, or other sundry sites. For utility purposes, the term refers to delivery lines and all appurtenances necessary or incidental to the operation of the utility system, such as poles, valves, junction boxes, conduits, and so on.",,,,,Facility,F
Facility (Utilities),Utilities Manual,"A general term referring to highway appurtenances necessary for the operation of the highway, such as structures, drainage facilities, traffic signals, and similar objects or devices. For highway real estate purposes, the term does not include pit sites, park & ride lots located outside the highway right of way, or other sundry sites. For utility purposes, the term refers to delivery lines and all appurtenances necessary or incidental to the operation of the utility system, such as poles, valves, junction boxes, conduits, and so on.",,,,,Facility (Roadside),F
Fair Market Value,Right of Way Manual,"The amount in cash which a well-informed buyer, willing but not obligated to buy the property, would pay, and which a well-informed seller, willing but not obligated to sell it, would accept, taking into consideration all uses to which the property is adapted or may be reasonably adaptable. (WPI 150.08)",,,,,,F
Fair Offer,Local Agency Guidelines,"An offer to acquire real property for just compensation, which is the approved appraisal of the property's fair market value.",,,,,,F
Fall Distance,Safety Manual,Means the actual distance from the worker's support to the level where a fall would stop,,,,,,F
Fall Prevention System,Safety Manual,"A system intended to prevent a worker from falling from one elevation to another. Such systems include positioning device systems, guardrail, barriers, and restraint systems. These devices do not absolutely prevent a worker from falling; their function is to keep the worker at the same elevation.",,,,,,F
Fall protection work plan,Safety Manual,"means a written planning document in which the employer identifies all areas on the job site where a fall hazard of ten feet or more exists. The plan describes the method or methods of fall protection to be used to protect employees, and includes the procedures governing the installation use, inspection, and removal of the fall protection method or methods which are selected by the employer. See WAC 296-155-24611(2) andDOT Form 750-001 and 750-001A)",,,,,,F
Fare Revenues/Farebox Revenues,Summary of Public Transportation,"All income received directly from passengers, either paid in cash, token, voucher, transfer or through pre-paid tickets, passes, etc. It includes donations from passengers on the vehicle and the reduced fares paid by passengers in a user-side subsidy arrangement, but excludes revenue from charter services.",,,,,,F
Farebox Recovery Ratio,Summary of Public Transportation,"Total farebox revenue, plus contract service revenue, divided by total direct operating expenses.",,,,,,F
farm tractor,Permit Desk Guide,"Every motor vehicle designed and used primarily as a farm implement for drawing plows, mowing machines, and other implements of husbandry.",,,,,,f
farm vehicle,Permit Desk Guide,"Any vehicle other than a farm tractor or farm implement which is designed and/or used primarily in agricultural pursuits on farms for the purpose of transporting machinery, equipment, implements, farm products, supplies, and/or farm labor thereon and is only incidentally operated on or moved along public highways for the purpose of going from one farm to another.",,,,,,f
Farmland of Statewide or Local Importance,Environment Manual,"As defined in the Farmland Protection Policy Act, farmland of statewide or local importance is land used for the production of food, feed, fiber, forage, or oil, seed crops, as determined by the state or local government agency or agencies, using U.S. Department of Agriculture guidelines.",,,,,,F
fascine,Roadside Manual,"A tied bundle of plant stems or branches, laid in a trench or a terrace on the contour and staked into position. Used to slow water velocities, trap sediment and establish vegetation. Used on basically stable slopes that have a shallow, unstable surface layer.",,,,,,f
feasibility,Highway Runoff Manual,See engineering and economic feasibility,,engineering and economic feasibility (EEF),,,,f
Feasible and Prudent Avoidance Alternative,Environment Manual,A feasible and prudent avoidance alternative avoids using Section 4(f) property and does not cause other severe problems of a magnitude that substantially outweighs the importance of protecting the Section 4(f) property.,,,,,,F
feature,Desgin Manual,"A component of a pedestrian access route, such as a curb ramp, driveway, crosswalk, or sidewalk.",,,,,feature (Roadside),f
feature,Terminal Design Manual,"A component of a pedestrian access route, such as a curb ramp, driveway, crosswalk, or sidewalk.",,,,,feature (Roadside),f
feature (Roadside),Roadside Manual,"A visually distinct or outstanding part, quality, or characteristic of a landscape.",,,,,feature,f
Federal Aid Project Prospectus,Local Agency Guidelines,Page 1 is used for the FHWA federal aid programing purposes. Pages 2 and 3 give the state and FHWA additional information about the proposed project.,,,,,,F
Federal Aid Requirement Checklist,Local Agency Guidelines,A list of requirements for acquiring right of way on federal aid projects,,,,,,F
Federal Aviation Administration (FAA),State-Managed Airport Handbook,"A branch of the U.S. Department of Transportation responsible insuring the safe and efficient use of the nationâ€™s airspace, for fostering civil aeronautics and air commerce, and for supporting the requirements of national defense. In addition to regulating airports, aircraft manufacturing and parts certification, aircraft operation and pilot certification, the FAA operates Air Traffic Control, purchases and maintains navigation equipment, certifies airports and aids airport development, among other activities. The FAA also administers the AIP that provides grants from the Airport and Airway Trust Fund for airport development.",,,,,,F
Federal Aviation Regulations (FARs),State-Managed Airport Handbook,"The body of Federal regulations relating to aviation, published as Title 14 of the Code of Federal Regulations.",,,,,,F
"Federal Aviation Regulations Part 61, 141, 142",State-Managed Airport Handbook,"The parts of FARs covering pilot certification and flight school operations: the pilot certification and standard flight school (Part 61), the integrated curriculum type school (Part 141) requiring slightly fewer flying hours, and Part 142 program allowing replacement of more flight time with advanced flight simulators.",,,,,,F
Federal Aviation Regulations Part 77,State-Managed Airport Handbook,"The part of Federal Aviation Regulations (FARs) covering objects affecting navigable airspace. It provides for the establishment of â€œimaginary surfacesâ€ on and around an airport to identify potential aeronautical hazards in order to prevent or minimize the adverse impacts to the safe and efficient use of navigable airspace. Imaginary surfaces include the primary surface, approach surfaces, transitional surfaces, the horizontal surface, and the conical surface.",,,,,,F
filter berm,Highway Runoff Manual,"A berm of compost, mulch, or gravel to detain and filter sediment from sheet flow.",,,,,,f
"Federal Aviation Regulations Part 91, 121, 125, 135",State-Managed Airport Handbook,"The parts of Federal Aviation Regulations (FARs) covering non-commercial operations (Part 91), major scheduled air carriers (Part 121), commuters (Part 125), non-scheduled carriers and air taxis (Part 135).",,,,,,F
Federal Capital Assistance,Summary of Public Transportation,Financial assistance from the Federal Transit Administration (FTA) to assist in paying the capital costs of providing transit service.,,,,,,F
Federal Highway Administration (FHWA) (Design),Desgin Manual,The division of the U.S. Department of Transportation with jurisdiction over the use of federal transportation funds for state highway and local road and street improvements.,,,,,Federal Highway Administration (FHWA) (Standard Specs),F
Federal Highway Administration (FHWA) (Design),Desgin Manual,The division of the U.S. Department of Transportation with jurisdiction over the use of federal transportation funds for state highway and local road and street improvements.,,,,,Federal Highway Administration (FHWA) (Utilities),F
Federal Highway Administration (FHWA) (Standard Specs),Standard Specifications,The Federal Agency authorized to approve plans and contracts for Federal-Aid Highway projects. They also inspect such projects to ensure Contract compliance.,,,,,Federal Highway Administration (FHWA) (Design),F
Federal Highway Administration (FHWA) (Standard Specs),Standard Specifications,The Federal Agency authorized to approve plans and contracts for Federal-Aid Highway projects. They also inspect such projects to ensure Contract compliance.,,,,,Federal Highway Administration (FHWA) (Utilities),F
Federal Highway Administration (FHWA) (Utilities),Utilities Manual,"The U.S. Department of Transportation Federal Highway Administration, which oversees federal funding to the states. The FHWA controls all full control limited access Interstate freeways and has oversight for NHS highways.",,,,,Federal Highway Administration (FHWA) (Design),F
Federal Highway Administration (FHWA) (Utilities),Utilities Manual,"The U.S. Department of Transportation Federal Highway Administration, which oversees federal funding to the states. The FHWA controls all full control limited access Interstate freeways and has oversight for NHS highways.",,,,,Federal Highway Administration (FHWA) (Standard Specs),F
Federal Nexus,Environment Manual,A project has a federal nexus when a federal agency must take an action on a project. Before the federal agency takes an action environmental impacts must be evaluated under NEPA. Common actions that create a Federal Nexus include: • Federal land decision required within the project area. • Federal money is used on the project. • Federal permits or approvals are required.,,,,,,F
Federal Operating Assistance,Summary of Public Transportation,Financial assistance from the FTA to assist in paying the operating and administrative costs of providing transportation services.,,,,,,F
Federal Transit Administration (FTA) (Design),Desgin Manual,"The division of the U.S. Department of Transportation with jurisdiction over the use of federal funds for financial assistance to develop new transit systems and improve, maintain, and operate existing systems.",,,,,Federal Transit Administration (FTA)(Public Transportation),F
Federal Transit Administration (FTA)(Public Transportation),Summary of Public Transportation,An agency of the United States Department of Transportation that administers federal programs of financial assistance for public transportation through the Federal Transit Act. It replaced the Urban Mass Transportation Administration (UMTA).,,,,,Federal Transit Administration (FTA) (Design),F
feeder service,Desgin Manual,Bus service that provides connections with other bus or rail services.,,,,,,f
FHWA (Permit Desk Guide),Permit Desk Guide,"Federal Highway Administration, the USDOT division concerned with highway construction and usage. Other similar divisions of USDOT relate to air, rail, water transportation, and motor carrier safety.",,,,,FHWA (Utilities),F
FHWA (Utilities),Utilities Manual,"The U.S. Department of Transportation Federal Highway Administration, which oversees federal funding to the states. The FHWA controls all full control limited access Interstate freeways and has oversight for NHS highways.",,,,,FHWA (Permit Desk Guide),F
Field or Field Limit,Bicycle Racing Guidelines,"The field refers to the event cyclists as a group. Some cycling events have a field limit, which is a limit on the number of cyclists that can participate in the event.",,,,,,F
fifth-wheel,Permit Desk Guide,"A device used to connect a truck tractor or converter dolly to a semitrailer in order to permit articulation between the units. It generally is composed of a lower part consisting of a plate, and latching mechanism mounted on the truck tractor (or dolly) and a kingpin assembly mounted on the semi-trailer.",,,,,,f
file,Terminal Design Manual,A group of related information.,,,,,,f
file format,Terminal Design Manual,A defined digital organization and arrangement that determines how a computer file will be written and displayed on screen or in print.,,,,,,f
fill,Roadside Manual,"That part of the ground surface that, when graded, is higher than the original ground.  Strom and Nathan, 1992.",,,,,,f
fill slope,Utilities Manual,That portion of the roadway built upon existing ground to support the structural roadbed. Extends from the top of the shoulder to a point where the slope meets existing ground.,,,,,,f
filter fabric,Highway Runoff Manual,"A woven or nonwoven water-permeable material, typically made of synthetic products such as polypropylene, used in stormwater management and erosion and sediment control applications to trap sediment or to prevent fine soil particles from clogging the aggregates.",,,,,,f
filter strip,Highway Runoff Manual,A grassy area with gentle slopes that treats stormwater runoff from adjacent paved areas before it can concentrate into a discrete channel.,,,,,,f
Final Approach,State-Managed Airport Handbook,"The flight path of an aircraft which is inbound to the airport on an approved final instrument approach course, beginning at the point of interception of that course and extending to the airport or the point where circling for landing or missed approach is executed.",,,,,,F
final design,Desgin Manual,Any design activities following preliminary design; expressly includes the preparation of final construction plans and detailed specifications for the performance of construction work (23 CFR 636.103). Final design is also defined by the fact that it occurs after NEPA/SEPA approval has been obtained.,,,,,,f
Final Environmental Impact Statement (FEIS),Local Agency Guidelines,"a document containing an evaluation of the course of action that an agency intends to follow. It contains the same information required for the DEIS, with appropriate revisions reflecting comments received from circulation of the DEIS and from public meetings.",,,,,,F
Final Estimate,Local Agency Guidelines,An estimate of the total cost of a project prepared after completion of the construction contract and used as the basis for final payment to the contractor.,,,,,,F
Financial Responsibility Letter,Local Agency Guidelines,A letter from the local agency approving authority advising the Local Programs Engineer that a construction contract may be awarded and that the agency will arrange for project funding above the amount in the current Local Agency Agreement.,,,,,,F
Finding of No Significant Impact (FONSI) (NEPA),Desgin Manual,A federal document indicating that a proposal will not significantly affect the environment and an EIS is not required.,,,,,,F
findings and order,Desgin Manual,"A document containing the findings and conclusions of a limited access hearing approved by the Assistant Secretary, Engineering & Regional Operations (see Design Manual Chapter 210).",,,,,,f
findings and order plan,Desgin Manual,"A limited access plan, prepared after a limited access hearing, which is based on the hearing record.",,,,,,f
finish grading,Roadside Manual,Minor changes to finalize a prepared earth surface to its desired grade.,,,,,,f
fish-bearing stream,Highway Runoff Manual,"According to WAC 222-16-030: Type S, F, and Np waters are fish habitat streams. Until fish habitat water type maps are available, an interim water-typing system applies (see WAC 222-16-031). Type 1, 2, 3, and 4 waters are fish habitat streams.",,,,,Non-fish-bearing stream,f
Fit Test,Safety Manual,"Fit testing is an activity where the facepiece seal of a respirator is challenged, using an accepted protocol, to determine if the respirator provides an adequate seal.",,,,,,F
Fixed Base Operator (FBO),State-Managed Airport Handbook,"Any aviation business duly licensed and authorized by written agreement with the airport owner to provide aeronautical activities at the airport under strict compliance with such agreement and pursuant to these regulations and standards. Typically provide services such as hangar space, fuel, flight training, repair, and maintenance to general aviation airport users.",,,,,,F
fixed dolphin,Terminal Design Manual,A type of dolphin consisting of a cluster of timber piles (numbering from 35 to 100) or steel piles (numbering from three to 20).,,,,,,f
Fixed Feature,Utilities Manual,"A fixed feature that, when struck, can result in unacceptable impact forces on a vehicle’s occupants. A fixed feature can be either natural or constructed. Fog Line The outside edge of the roadway designated for normal vehicular travel (also referred to as the edge of traveled way or edge stripe).",,,,,,F
fixed fee,Consultant Services Manual,The sum expressed in US dollars which covers the consultant’s profit and other business expenses not allowable or included as a direct or indirect cost.,,,,,,f
Fixed Guideway,Summary of Public Transportation,Public transportation operating in a separate right-of-way corridor or rail for the exclusive use of public transportation and other high occupancy vehicles.,,,,,,F
Fixed Object (object to be mitigated),Desgin Manual,"A fixed object, a side slope, or water that, when struck, can result in impact forces on a vehicle’s occupants that may result in injury or place the occupants in a situation that has a high likelihood of injury. A fixed feature can be either constructed or natural.",,,,,,F
fixed route deviated,Summary of Public Transportation,,,Deviated Fixed Route Service,,,,f
Fixed Route Service,Summary of Public Transportation,"Public transportation on a repetitive, fixed schedule basis along a specific route with vehicles stopping for passengers along the way.",,,,,,F
fixed service item,Roadside Manual,A stationary facility or structure such as a utility box or light standard.,,,,,,f
Fixed Wing,State-Managed Airport Handbook,Any aircraft not considered to be a rotorcraft,,,,,,F
Flammable Atmosphere,Safety Manual,Any atmosphere in excess of 10 percent of the Lower Explosive Limit (LEL) and below the Upper Explosive Limit (UEL).,,,,,,F
flangeway gap,Design Manual: ADA/Pedestrian Supplement,The gap for the train wheel at a railroad crossing. The space between the outer edge of a rail and the crossing surface.,,,,,,f
flangeway gap,Terminal Design Manual,The gap for the train wheel at a railroad crossing. The space between the outer edge of a rail and the crossing surface.,,,,,,f
flare,Desgin Manual,The widening of the approach to the roundabout to increase capacity and facilitate natural vehicle paths.,,,,,,f
flasher warning assembly,Desgin Manual,Flashing beacons that are used only to supplement an appropriate warning or regulatory sign or marker. The displays consist of two alternating flashing yellow indications.,,,,,,f
Flight Service Station (FSS),State-Managed Airport Handbook,"Air traffic facility operated by the FAA to provide flight service assistance such as pilot briefings, en route communications, search and rescue assistance and weather information.",,,,,,F
floating dolphin,Terminal Design Manual,"A type of dolphin consisting of a floating concrete pontoon, a fendering system, and an anchorage system made up of chains and steel or concrete anchors. Floating dolphins are typically used at locations characterized by deep water or rocky substrate.",,,,,,f
Flood (Environment),Environment Manual,"A general and temporary condition of partial or complete inundation of normally dry land areas from one of the following four sources: Overflow of inland or tidal waters. Unusual and rapid accumulation or runoff of surface waters from any source. Mudslides or mudflows that are like a river of liquid mud on the surface of normally dry land area, as when earth is carried by a current of water and deposited along the path of the current. Collapse or subsidence of land along the shore of a lake or other body of water as a result f erosion or undermining caused by waves or currents of water.",,,,,flood (Highway Runoff),F
flood (Highway Runoff),Highway Runoff Manual,"An overflow or inundation that comes from a river or any other source, including but not limited to streams, tides, wave action, storm drains, or excess rainfall; any relatively high stream flow overtopping the natural or artificial banks in any reach of a stream.",,,,,Flood (Environment),f
flood control project,Highway Runoff Manual,"A structural system installed to protect land and improvements from floods by the construction of dikes, river embankments, channels, or dams.",,,,,,f
Flood Control Zone,Local Agency Guidelines,"A zone subject to flooding, as defined on maps available from the Region Local Programs Engineer. FONSI â€“ Finding of No Significant Impact, a federal lead-agency document presenting the reasons why a proposal will not significantly affect the environment and an EIS will not be prepared. The FONSI includes the EA and references any other related environmental documents.",,,,,,F
flood frequency,Highway Runoff Manual,The frequency at which the flood of interest may be expected to occur.,,,,,,f
Flood Hazard,Local Agency Guidelines,"Construction affecting a flood-control zone, through flooding, erosion, or deposition of materials.",,,,,,F
flood peak,Highway Runoff Manual,"The highest value of the stage or discharge attained by a flood; thus, peak stage or peak discharge.",,,,,,f
Floodplain (Environment),Environment Manual,Any land area susceptible to being inundated by flood waters from any source; usually the flat or nearly flat land on the bottom of a stream valley or tidal area that is covered by water during floods,,,,,Floodplain (Highway Runoff),F
Floodplain (Highway Runoff),Highway Runoff Manual,"The total area subject to inundation by a flood, including the flood fringe and floodway.",,,,,Floodplain (Environment),F
Floodplain Boundaries,Environment Manual,Lines on flood hazard maps that show the limits of the 100 and 500 year floodplains.,,,,,,F
