Definiendum,Short Definiendum,Definiens
Inhabited historic towns,Inhabited historic towns,"Paragraph 29 of the Operational Guidelines provides
        some definition of inhabited historic towns as:
                
                (i)      Towns which are typical of a specific period or
                         culture, which have been almost wholly preserved
                         and which have remained largely unaffected by
                         subsequent developments. Here the property to be
                         listed is the entire town together with its
                         surroundings, which must also be protected;
                     
                (ii)     Towns that have evolved along characteristic lines
                         and have preserved, sometimes in the midst of
                         exceptional natural surroundings, spatial
                         arrangements and structures that are typical of the
                         successive stages in their history. Here the
                         clearly defined historic part takes precedence over
                         the contemporary environment;
                     
                (iii)    ""Historic centres"" that cover exactly the same
                         area as ancient towns and are now enclosed
                         within modern cities. Here it is necessary to
                         determine the precise limits of the property
                         in its widest historical dimensions and to
                         make appropriate provision for its immediate
                         surroundings;
                     
                (iv)     Sectors, areas or isolated units which, even in the
                         residual state in which they have survived, provide
                         coherent evidence of the character of a historic
                         town which has disappeared. In such cases surviving
                         areas and buildings should bear sufficient
                         testimony to the former whole (UNESCO February
                         1996: 9).

see Groups of urban buildings"
Inscription,Inscription,"Inscription refers to the act of including or
        inscribing a property in the World Heritage
        List.
"
Integrity,Integrity,"Also known as Conditions of integrity.
        
        The concept of integrity is not referred to directly
        in the World Heritage Convention.
        
        Paragraph 44 of the Operational Guidelines requires
        that a natural property nominated for inclusion in the
        World Heritage List be considered for inclusion only
        if it meets one or more of the natural heritage criteria
        and fulfils the conditions of integrity
        (UNESCO February 1996: 12).  This requirement is again
        referred to in Paragraph 45 of the Operational
        Guidelines (UNESCO February 1996: 15).
        
        The conditions of integrity may be summarised from
        Paragraph 44 (b) (i) to (iv) of the Operational
        Guidelines as follows:
                44.
                ...
                         (b) ...
                         
                         (i)     The sites described in 44(a)(i) should contain
                                 all or most of the key interrelated and
                                 interdependent elements in their natural
                                 relationships ...
                               
                         (ii)    The sites described in 44(a)(ii) should have
                                 sufficient size and contain the necessary
                                 elements to demonstrate the key aspects of
                                 processes that are essential for the long-term
                                 conservation of the ecosystems and the
                                 biological diversity they contain ...
                               
                         (iii)   The sites described in 44(a)(iii) should
                                 be of outstanding aesthetic value and
                                 include areas that are essential for
                                 maintaining the beauty of the site ...
                               
                         (iv)    The sites described in paragraph 44(a)(iv)
                                 should contain habitats for maintaining the
                                 most diverse fauna and flora characteristic of
                                 the biogeographic province and ecosystems
                                 under consideration ... 
                                 (UNESCO February 1996: 13-14).
        
        Paragraphs 57 and 58 of the Operational Guidelines
        state that natural properties nominated for
        inclusion in the World Heritage List should satisfy
        the conditions of integrity and that the determination
        as to whether these conditions are met will be carried out by
        IUCN  (UNESCO February 1996: 18).  Furthermore,
        Paragraph 58 (d) of the Operational Guidelines also
        requests that IUCN in examining and evaluating
        nominations, ""make comments and recommendations on the
        integrity and future management of each property recommended
        by the Bureau, during its presentation to the Committee""
        (UNESCO February 1996: 19).
        
        The Operational Guidelines refer to the threat to the
        integrity of natural properties as one of the
        criterion for the inclusion of natural properties
        in the List of World Heritage in Danger (UNESCO
        February 1996: 29, Paragraph 79 (i) (c)).  Paragraph 80 of
        the Operational Guidelines makes comments concerning
        how threats to the integrity of natural properties
        may be ""amenable to correction by human action"" or by
        ""administrative or legislative action, such as the cancelling
        of a major public works project or the improvement of legal
        status"" (UNESCO February 1996: 29).
        
        On only one occasion the concept of integrity is
        referred to with reference to the conservation of
        cultural properties.  In Paragraph 24 (b)(ii) of the
        Operational Guidelines reference is made to the need
        to ""preserve the integrity of cultural sites"" (UNESCO
        February 1996: 8).
        
        The possibility of applying conditions of integrity to
        both natural heritage and cultural heritage,
        ""and thus of applying one common approach for the
        identification and evaluation of World Heritage"" was the
        subject of discussion at the March 1996 ""Expert Meeting on
        Evaluation of general principles and criteria for nominations
        of natural World Heritage sites"" (UNESCO 15 April 1996).  The
        World Heritage Bureau and Committee will
        consider the substance of the report of the Expert Meeting at
        their twentieth sessions in 1996."
Intergovernmental Committee for the Protection of the World Cultural and Natural Heritage,Intergovernmental Committee for the Protection of the World Cultural and Natural Heritage,see World Heritage Committee
International assistance,International assistance,"The granting of collective assistance, such as
        international assistance, through the participation of
        the international community is one of the fundamental
        conservation tools established by the Convention and
        is referred to in the Preamble to the Convention
        UNESCO 1972).
        
        The Convention includes significant detail concerning
        the provision of international assistance - see for
        example Article 13, and Section V ""Conditions and
        Arrangements for International Assistance, Articles 19-26
        (UNESCO 1972).  The Convention states that
        international assistance may be used to identify,
        ""secure the protection, conservation, presentation or
        rehabilitation"" of a cultural or natural property
        (UNESCO 1972: Article 13 (1) and (2)).
        
        Section IV of the Operational Guidelines entitled
        ""International Assistance"" describes the various forms of
        assistance available under the World Heritage Fund
        (Preparatory assistance, Emergency
        assistance, Training, Technical co-operation
        and assistance for promotional activities),
        establishes the deadlines for the presentation of requests
        for international assistance for consideration by the
        World Heritage Committee and its Bureau,
        establishes an order of priorities for the granting of
        international assistance, details of the agreement to
        be concluded with States Parties receiving
        international assistance, and the implementation of
        projects and conditions for the granting of international
        assistance (UNESCO February 1996: 31-39, Paragraphs 90 to
        117).

see Emergency assistance, Preparatory assistance,
Promotional activities, Technical assistance,
Technical co-operation, Training, World Heritage Fund"
International Centre for the Study of the Preservation and Restoration of Cultural Property,Rome Centre,see ICCROM
International Council of Monuments and Sites,International Council of Monuments and Sites,see ICOMOS
International Union for the Conservation of Nature and Natural Resources,IUCN,"[now the World Conservation Union]

see IUCN"
International protection,International protection,"Article 7 of the Convention provides some definition
        of the concept of international protection when it
        states that:

                         For the purpose of this Convention, international
                protection of the world cultural and natural heritage
                shall be understood to mean the establishment of a
                system of international co-operation and assistance
                designed to support States Parties to the Convention in
                their efforts to conserve and identify that heritage
                (UNESCO 1972).

see National protection"
Inventory of property,Inventory of property,"Article 11(1) of the Convention establishes the
        requirement for States Parties to prepare an
        inventory of property for submission to the World
        Heritage Committee.
        
                Article 11
                
            1.           Every State Party to this Convention shall, in so
                         far as possible, submit to the World Heritage
                         Committee an inventory of property forming part of
                         the cultural and natural heritage, situated in its
                         territory and suitable for inclusion in the list
                         provided for in paragraph 2 of this Article [the
                         World Heritage List].  This inventory, which
                         shall not be considered exhaustive, shall include
                         documentation about the location of the property in
                         question and its significance (UNESCO 1972).
        
        This inventory is referred to in the Operational
        Guidelines as a tentative list.

see Indicative list, Tentative list"
IUCN - The World Conservation Union,IUCN - The World Conservation Union,"Founded in 1948, the IUCN - The World Conservation
        Union brings together States, government agencies and a
        diverse range of non-governmental organisations in a world
        partnership.  The IUCN is an international, non-
        governmental organization with more than 800 members from 125
        countries.  The IUCN seeks to ensure the
        conservation of the integrity and diversity of
        nature and to ensure that any use of natural resources is
        equitable and ecologically sustainable.
        
        Article 8 (3) of the Convention requires that a
        representative of IUCN attend meetings of the
        Committee in an advisory capacity (UNESCO 1972).

        The IUCN advises the World Heritage Committee
        on the selection of natural properties for
        inclusion in the World Heritage List, and through its
        worldwide network of specialists, reports back on the
        state of conservation of inscribed properties.
        
see IUCN evaluation"
IUCN evaluation,IUCN evaluation,"The evaluation procedures used by IUCN for
        natural property nominations are set out in the
        IUCN volume on ""Documentation on World Heritage
        Properties (Natural)"" presented by IUCN to the
        World Heritage Committee each year (see for example
        IUCN 1995).  The evaluation or ""Technical Review"" of
        natural properties for inclusion in the
        World Heritage List is conducted by the Natural
        Heritage Programme (NHP) of IUCN in association with
        the IUCN's Commission on National Parks and Protected
        Areas (CNPPA).  The IUCN uses a standard
        format in presenting its documentation on natural property
        nominations.  The documentation provided by IUCN
        is in three parts - a summary of the original nomination
        including supplementary information, an evaluation
        and recommendation and data sheets (IUCN 1995: 3).

see Evaluation, ICOMOS evaluation"
Itineraries,Itineraries,see Heritage route
Joint nomination,Joint nomination,"Paragraphs 16 and 20 of the Operational Guidelines
        make reference to the submission of joint nominations
        of a property or series of properties when that
        property or series of properties extends across
        the national territorial borders of one State Party
        into the territory of another States Party (UNESCO
        February 1996: 5 and 6).
        
        Examples of joint nominations include:
        
                Argentina and Brazil 
                Jesuit Missions of the Guaranis

                Belarus and Poland 
                Bialowieza Forest

                Canada and the United States of America  
                Tatshenshini-Alsek/Kluane National
                Park/Wrangell-St. Elias National Park 
                and Reserve and Glacier Bay National Park
                
                Canada and the United States of America 
                Waterton Glacier International Peace Park
                
                Guinea and Cote d'Ivoire                                 
                Mount Nimba Strict Nature Reserve
                
                Hungary and Slovak Republic                                      
                Caves of the Aggtelek and Slovak Karst

        A complete list of joint nominations is included in
        the World Heritage List, published annually (see
        UNESCO-ICOMOS Documentation Centre January 1996)."
Justification,Justification,"Section G of the Operational Guidelines entitled
        ""Format and content of nominations"" provides guidance as to
        how States Parties should justify the inclusion of
        properties in the World Heritage List.

                Information should be provided under three separate
                headings as follows: (i) the reasons for which the
                property is considered to meet one or more of the
                criteria set out under paragraphs 24 and 44 above; (ii)
                an evaluation of the property's present state of
                preservation as compared with similar properties
                elsewhere; (iii) indications as to the authenticity of
                the property (UNESCO February 1996: 20, Paragraph 64
                (e)).

        The nomination form includes specific requirements for
        justifying cultural and/or natural property
        nominations.

        Nominations of properties for inclusion in the
        World Heritage List, should be well justified and
        presented ""in the form of a well-argued case"" making
        reference to the natural and/or cultural heritage
        criteria they meet (UNESCO February 1996: 4, Paragraph
        10).
"
List,List,"see List of World Heritage in Danger, World Heritage List"
List of World Heritage in Danger,List of World Heritage in Danger,"The List of World Heritage in Danger is clearly
        defined in Article 11 (4) of the Convention:

                1.       ... a list of the property appearing in the World
                         Heritage List for the conservation of which major
                         operations are necessary and for which assistance
                         has been requested under the Convention.  This list
                         shall contain an estimate of the cost of such
                         operations.  The list may include only such
                         property forming part of the cultural and natural
                         heritage as is threatened by serious and specific
                         dangers, such as the threat of disappearance caused
                         by accelerated deterioration, large-scale public or
                         private projects or rapid urban or tourist
                         development projects: destruction caused by changes
                         in the use or ownership of the land; major
                         alterations due to unknown causes; abandonment for
                         any reason whatsoever; the outbreak or the threat
                         of an armed conflict; calamities and cataclysms;
                         serious fires, earthquakes, landslides; volcanic
                         eruptions; changes in water level, floods, and
                         tidal waves.  The Committee may at any time, in
                         case of urgent need, make a new entry in the List
                         of World Heritage in Danger and publicize such
                         entry immediately (UNESCO 1972).

        Paragraph 6(vi) of the Operational Guidelines states
        that,

                (i)      When a property has deteriorated to the extent that
                         it has lost those characteristics which determined
                         its inclusion in the World Heritage List.  It should
                         be placed on the World Heritage in Danger List,
                         subsequently the procedure concerning the possible
                         deletion from the List will be applied  (UNESCO
                         February 1996: 3).

        There are currently 18 properties included in the
        List of World Heritage in Danger.

see Deletion, Delisting
"
Management,Management,"Paragraph 63 of the Operational Guidelines clearly
        states that the characteristics or values which
        justified the inclusion of a property in the
        World Heritage List  should be reflected in its future
        management (UNESCO February 1996: 19)."
Management plan,Management plan,"States Parties to the Convention are encouraged
        to prepare management plans for the management
        of each cultural and natural property nominated
        for inclusion in the World Heritage List
        (UNESCO February 1996: 6, Paragraph 21).  This requirement is
        reflected in the conditions of integrity for
        natural properties (UNESCO February 1996: 14-15,
        Paragraphs 44 (b)(v) and (vi)) and in the requirements
        concerning protection and management mechanisms for
        cultural properties (UNESCO February 1996: 7-8,
        Paragraph 24 (b)(ii))."
Mixed property,Mixed property,"17 properties are currently included in the World
        Heritage List on the basis of both their natural and
        cultural values (UNESCO-ICOMOS Documentation Centre 1996). 
        Although these types of World Heritage properties are
        generally known as mixed properties, the
        Operational Guidelines does not use, refer to, or
        define this term.  The Operational Guidelines do
        however state that ""States Parties should as far as possible
        endeavour to include in their submissions properties which
        derive their outstanding universal value from a particularly
        significant combination of cultural and natural features""
        (UNESCO February 1996: 5, Paragraph 18)."
Mixed site,Mixed site,"One of the essential functions of the World Heritage
        Committee is to monitor the state of
        conservation of properties inscribed in the
        World Heritage List.  Section II of the Operational
        Guidelines describes systematic monitoring and
        reporting and reactive monitoring (UNESCO February
        1996: 26-27).
        
        Paragraphs 69 to 74 of the Operational Guidelines
        described the process of systematic monitoring whilst
        Paragraph 75 describes reactive monitoring (UNESCO
        February 1996: 26-27).

see Reactive monitoring, Systematic monitoring and reporting"
Monuments,Monuments,"Monuments are referred to as part of the definition of
        cultural heritage in Article 1 of the
        Convention (UNESCO 1972).
        
see Cultural heritage
"
Movable property,Movable property,"Movable property is property that can easily be
        moved from one location to the other.  As explained in the
        Operational Guidelines, the World Heritage
        Committee does not consider nominations of
        movable property for inclusion in the World
        Heritage List (UNESCO February 1996: 8, Paragraph 25).
        
see Immovable property"
Nara Conference on Authenticity in Relation to the World Heritage Convention,Nara Conference on Authenticity in Relation to the World Heritage Convention,see Authenticity
Nara Document on Authenticity,Nara Document on Authenticity,see Authenticity
National protection,National protection,"The Convention refers to national ""identification,
        protection, conservation, presentation and transmission to
        future generations of the cultural and natural heritage""
        situated on its territory as national protection. 
        National protection is distinct from international
        protection (UNESCO 1972: Articles 4-6).  National
        protection of cultural and natural heritage
        is an essential component in the conservation of
        World Heritage properties.

see International protection"
Natural,Natural,see Natural area
Natural area,Natural area,"The ""Report of the Expert Meeting on Evaluation of general
        principles and criteria for nominations of natural World
        Heritage sites"" held at the Parc national de la Vanoise,
        France on 22 to 24 March 1996 (UNESCO 15 April 1996) includes
        the following definition of natural area:

                A natural area is one where bio-physical processes and
                landform features are still relatively intact and where
                a primary management goal of the area is to ensure that
                natural values are protected.  The term ""natural"" is a
                relative one.  It is recognized that no area is totally
                pristine and that all natural areas are in a dynamic
                state.  Human activities in natural areas often occur
                and when sustainable may complement the natural values
                of the area (UNESCO 15 April 1996: 3).
                
        The World Heritage Bureau and Committee will
        consider the substance of the report of the Expert Meeting at
        their twentieth sessions in 1996."
Natural features,Natural features,"Natural features are referred to as part of the
        definition of natural heritage in Article 2 of the
        Convention (UNESCO 1972).
        
see Natural heritage"
Natural heritage,Natural heritage,"Natural heritage is defined in Article 2 of the
                Convention as shown below:
                
                Article 2
                
                For the purposes of this Convention, the following shall
                be considered as ""natural heritage"";
                
                natural features consisting of physical and biological
                formations or groups of such formations, which are of
                outstanding universal value from the aesthetic or
                scientific point of view;
                
                geological and physiographical formations and precisely
                delineated areas which constitute the habitat of
                threatened species of animals and plants of outstanding
                universal value from the point of view of science or conservation;
                
                natural sites or precisely delineated natural areas of
                outstanding universal value from the point of view of
                science, conservation or natural beauty (UNESCO
                1972)."
Natural heritage criteria,Natural heritage criteria,"A natural property may be inscribed in the
        World Heritage List if it meets one or more of the
        natural heritage criteria  and the conditions of
        integrity presented in Paragraph 44 of the Operational
        Guidelines (UNESCO February 1996:  12-15).

see Conditions of integrity, Criteria, Cultural
heritage criteria"
Natural property,Natural property,"Properties inscribed in the World Heritage List
        after having met at least one of the natural heritage
        criteria and the conditions of integrity are
        referred to as natural properties."
Natural sites,Natural sites,"Natural sites are referred to as part of the
        definition of natural heritage in Article 2 of the
        Convention (UNESCO 1972).
        
see Natural heritage
"
Nomination,Nomination,"The process whereby a States Party, or States
        Parties, to the Convention seeks to have a
        property included in the World Heritage List is
        called nomination.
        
        A nomination of a property for inclusion in the
        World Heritage List must be made by the national
        government of a country that is a signatory to the World
        Heritage Convention.  The property nominated, must
        be located on the territory of that State Party.
        
        Substantial guidance concerning the preparation of a
        nomination is provided in the Operational
        Guidelines (UNESCO February 1996: 3- 6, Paragraphs 7-22)
        and in the nomination form (UNESCO 1995).

see Nomination form"
Nomination form,Nomination form,"The application form to be used by States Parties when 
        nominating properties for inclusion in the World
        Heritage List is referred to as the nomination form
        (UNESCO 1995).
        
        Blank copies of the nomination form (UNESCO 1995) are
        available from the World Heritage Centre.  The
        nomination form is also available electronically via
        the INTERNET at the following address
        .
        
        When nominating properties for inclusion in the
        World Heritage List, States Parties are
        requested to submit three copies of the completed
        nomination form to their UNESCO National Commission
        and/or Permanent Delegation who should then forward it to the
        UNESCO World Heritage Centre (UNESCO 1995).
"
Operational Guidelines,Operational Guidelines,"see Operational Guidelines for the Implementation of the World
Heritage Convention"
Operational Guidelines for the Implementation of the World Heritage Convention,Operational Guidelines for the Implementation of the World Heritage Convention,"The Operational Guidelines for the Implementation of the
        World Heritage Convention, known also as the
        Operational Guidelines or simply as the
        Guidelines, were prepared by the World Heritage
        Committee for the purpose of informing States
        Parties to the Convention of the principles which
        guide the work of the World Heritage Committee in
        establishing the World Heritage List, the List of
        World Heritage in Danger and in granting international
        assistance under the World Heritage Fund (see
        UNESCO February 1996: 1-2, Paragraph 4).  The Operational
        Guidelines provide guidance concerning the format and
        content of nominations to the World Heritage List
        and present the timetable for submission and
        evaluation of the nominations.  The
        Operational Guidelines also provide details on other
        questions, mainly of a procedural nature, which relate to the
        implementation of the Convention.  Most
        importantly the Operational Guidelines present the
        ""Criteria for the inclusion of cultural properties in the
        World Heritage List"" and the ""Criteria for the inclusion of
        natural properties in the World Heritage List"".
        
        The Operational Guidelines have been prepared with the
        intention of ensuring objective and scientific decision-
        making on the part of the World Heritage Committee.
        
        The first version of the Operational Guidelines were
        adopted by the World Heritage Committee in 1977. 
        Since 1977 the Operational Guidelines have been
        adjusted and expanded to reflect the subsequent decisions of
        the Committee.  Nine major revisions of the
        Operational Guidelines had been produced and adopted
        by the World Heritage Committee up until June 1996."
Organically evolved landscape,Organically evolved landscape,"Organically evolved landscape is one of the three main
        categories of cultural landscapes adopted by the
        World Heritage Committee at its sixteenth session in
        December 1992 (UNESCO 14 December 1992: 54-55) and included
        in the Operational Guidelines (UNESCO February 1996:
        11, Paragraph 39).
        
        Paragraph 39 (ii) of the Operational Guidelines refers
        to organically evolved landscapes in the following
        way:
        
                39.

                (i)      The second category is the organically evolved
                         landscape.  This results from an initial social,
                         economic, administrative, and/or religious imperative
                         and has developed its present form by association
                         with and in response to its natural environment. 
                         Such landscapes reflect that process of evolution in
                         their form and component features.  They fall into
                         two sub-categories:
                
                         -   a relict (or fossil) landscape is one in which an
                             evolutionary process came to an end at some time in
                             the past, either abruptly or over a period.  Its
                             significant distinguishing features are, however,
                             still visible in material form.
                             
                         -   a continuing landscape is one which retains an
                             active social role in contemporary society closely
                             associated with the traditional way of life, and in
                             which the evolutionary process is still in
                             progress.  At the same time it exhibits significant
                             material evidence of its evolution over time
                             (UNESCO February 1996: 11).

see Associative cultural landscape, Clearly defined
landscape, Continuing landscape, Cultural
landscape, Relict (or fossil) landscape"
Organization of World Heritage Cities,OWHC,"The Organization of World Heritage Cities (OWHC) was
        established in 1993 to develop a sense of solidarity and a
        cooperative relationship between World Heritage cites
        particularly in view of the implementation of the
        Convention.  The OWHC thus facilitates an
        exchange of knowledge, management techniques and financial
        resources for the purpose of protecting monuments and sites. 
        The OWHC is based on the idea that sites within
        populated cities endure pressures of a different nature and
        therefore may require a more dynamic style of management. 
        There are over one hundred World Heritage cities to
        date.
"
Outstanding universal value,Outstanding universal value,"Outstanding universal value is referred to in several
        places in the Convention and the Operational
        Guidelines without specific definition.  Parts of the
        cultural and natural heritage, ""because
        of their exceptional qualities, can be considered to be of
        outstanding universal value, and as such worthy of
        special protection against the dangers which increasingly
        threaten them"" (UNESCO February 1996: 1, Paragraph 1).
        
        Outstanding universal value is sometimes simply
        referred to as World Heritage value.
        
        At the ""Expert Meeting on Evaluation of general principles
        and criteria for nominations of natural World Heritage sites""
        held at the Parc national de la Vanoise, France on 22 to 24
        March 1996,
        
                The expert group recalled that different interpretations
                have been made of the term ""outstanding universal
                value"" which is a key to the establishment of a
                selective World Heritage List.  In a number of cases the
                term has been also interpreted as implying ""best of
                its kind"".  The expert group stressed that the
                notion of outstanding universal value has been
                constructed over time and may be interpreted as a
                concept incorporating both uniqueness and
                representativeness (UNESCO 15 April 1996: 1).

        The World Heritage Bureau and Committee will
        consider the substance of the report of the Expert Meeting at
        their twentieth sessions in 1996."
OWHC,OWHC,see Organization of World Heritage Cities
Precisely delineated [natural] areas,Precisely delineated [natural] areas,"Precisely delineated [natural] areas are
        referred to as part of the definition of natural heritage
        in Article 2 of the Convention (UNESCO 1972).
        
see Natural heritage"
Preparatory assistance,Preparatory assistance,"Preparatory assistance is one of the types of
        international assistance available to States
        Parties from the World Heritage Fund.  Paragraphs
        90 and 91 of the Operational Guidelines outline the
        types of activities that may be funded by preparatory
        assistance.  The upper limit available as preparatory
        assistance is US$15,000 (UNESCO February 1996: 31-32).
        
        The form used to request preparatory assistance
        (UNESCO 1990c) can be obtained from the World Heritage
        Centre.  The Request for Preparatory Assistance
        form is also available electronically via the INTERNET at
        the following address.

see International assistance"
Presentation,Presentation,"The World Heritage Convention does not specifically
        define presentation.  Throughout the Convention
        reference is made to the ""identification, protection,
        conservation, presentation and transmission to future
        generations of the cultural and natural heritage"".  Article 5
        of the Convention makes reference to a number of
        ""effective and active measures"" that can be taken by
        States Parties in ensuring this ""identification,
        protection, conservation, presentation and transmission""
        (UNESCO 1972).
        
        Although presentation is used very frequently in the
        Operational Guidelines it is not defined."
Preservation,Preservation,"The World Heritage Convention and the Operational
        Guidelines do not specifically define
        preservation.
        
        Preservation is used interchangeably with
        conservation, safeguarding and protection
        in the Operational Guidelines.
        
see Conservation, Protection, Safeguarding"
Promotional activities,Promotional activities,"Promotional activities relating to World Heritage
        conservation may include meetings organised to create
        interest and greater awareness of the Convention, the
        exchange of experiences and the preparation of information
        material relating to the implementation of the
        Convention.  International assistance, provided
        on a selective basis, to a maximum of US$5000, may be made
        available from the World Heritage Fund for
        promotional activities (UNESCO February 1996: 36,
        Paragraph 107).
        
        Article 27 of the Convention refers to educational and
        information programmes as a means to ""strengthen appreciation
        and respect by their peoples of the cultural and natural
        heritage"" (UNESCO 1972).
        
see International assistance, Young People's
Participation in World Heritage Preservation and Promotion"
Property,Property,"The World Heritage Convention refers to properties
        as being component parts of the cultural and/or
        natural heritage.  The term property is used
        interchangeably with site in the Operational
        Guidelines (UNESCO February 1996).

see Sites, Cultural heritage, Natural
heritage"
Protection,Protection,"The World Heritage Convention does not specifically
        define protection.  Throughout the Convention
        reference is made to the ""identification, protection,
        conservation, presentation and transmission to future
        generations of the cultural and natural heritage"".  Article 5
        of the Convention makes reference to a number of
        ""effective and active measures"" that can be taken by States
        Parties in ensuring this ""identification, protection,
        conservation, presentation and transmission"" (UNESCO 1972).
        
        Although protection is used very frequently in the
        Operational Guidelines it is not defined (UNESCO
        February 1996).
        
        Protection is used interchangeably with
        conservation, safeguarding  and preservation
        in the Operational Guidelines.
        
see Conservation, International protection,
National protection, Preservation,
Safeguarding"
Reactive monitoring,Reactive monitoring,"One of the essential functions of the World Heritage
        Committee is to monitor the state of
        conservation of properties inscribed in the
        World Heritage List.  The Operational Guidelines
        describe both systematic monitoring and reporting
        and reactive monitoring.

                75.  Reactive monitoring is the reporting by the
                World Heritage Centre, other sectors of UNESCO and the
                advisory bodies to the Bureau and the Committee on the
                state of conservation of specific World Heritage sites that
                are under threat. To this end, the States Parties shall
                submit to the Committee through the World Heritage Centre,
                specific reports and impact studies each time exceptional
                circumstances occur or work is undertaken which may have
                an effect on the state of conservation of the site.
                Reactive monitoring is foreseen in the procedures for the
                eventual deletion of properties from the World Heritage
                List as set out in paras. 48-56. It is also foreseen in
                reference to properties inscribed, or to be inscribed, on
                the List of World Heritage in Danger as set out in paras.
                82-89 (UNESCO February 1996: 27).

see Monitoring, State of conservation, Systematic
monitoring and reporting"
Referral,Referral,"When examining nominations the Bureau may decide to
        recommend to the Committee that a nomination be
        referred back to the nominating State for further
        information or documentation"" (UNESCO February 1996: 24,
        Paragraph 65 June/July).
"
Rehabilitation,Rehabilitation,"The World Heritage Convention does not specifically
        define rehabilitation.  The Convention makes
        reference to the ""identification, protection, conservation,
        presentation and rehabilitation"" of cultural and
        natural heritage.  Article 5 of the
        Convention makes reference to a number of ""effective
        and active measures"" that can be taken by States Parties in
        ensuring this ""identification, protection, conservation,
        presentation and rehabilitation"" (UNESCO 1972).
        
        Rehabilitation is not defined in the Operational
        Guidelines."
Renomination,Renomination,"Renomination is not referred to specifically in the
        Convention or the Operational Guidelines.
        
        Renomination refers to the process where a States
        Party submits a new nomination of a property
        already inscribed in the World Heritage
        List.  Renominations may be useful for the purpose
        of boundary change or expansion and/or re-evaluation of the
        values and the criteria for which the property
        had been previously inscribed in the World Heritage
        List."
Reporting,Reporting,"see Monitoring, Reactive monitoring, Systematic
monitoring and reporting"
Rome Centre,Rome Centre,"see (ICCROM) International Centre for the Study of the
Preservation and Restoration of Cultural Property"
Routes,Routes,see Heritage route
Rules of Procedure,Rules of Procedure,"In complying with Article 10 (1) of the Convention the
        World Heritage Committee adopted Rules of Procedure
        at its first session and amended them at its second and
        third sessions (UNESCO n.d.).  The Rules of Procedure
        include reference to the conduct of World Heritage Bureau
        and Committee meetings."
Safeguarding,Safeguarding," Safeguarding is used interchangeably with
        conservation, preservation and protection
        in the Convention and the Operational
        Guidelines.
        
see Conservation, Preservation, Protection"
Secretariat,Secretariat,"Article 14 of the Convention notes that the World
        Heritage Committee ""shall be assisted by a Secretariat
        appointed by the Director-General"" of UNESCO.  Since
        1992 the World Heritage Centre, located at UNESCO
        Headquarters in Paris, France, has performed the role of
        the Secretariat to the World Heritage Committee
        and its Bureau.  The Secretariat is responsible
        for the daily administrative and technical management of the
        Convention.  The World Heritage Centre prepares
        the documentation for the Committee and its
        Bureau and has the responsibility for the
        implementation of their decisions.
"
Series,Series,"A series of cultural or natural properties
        situated in different geographical locations may be
        proposed for inclusion in the World Heritage List in a
        single nomination provided they are related because
        they belong to:
        
                     (i)         the same historico-cultural group or
                         
                     (ii)        the same type of property which is
                                 characteristic of the geographical zone
                         
                     (iii)       the same geomorphological formation, the same
                                 biogeographic province, or the same ecosystem
                                 type
                
                and provided that it is the series as such, and not
                its components taken individually, which is of outstanding
                universal value (UNESCO February 1996: 6, Paragraph 19).

see Serial property"
Serial nomination,Serial nomination,"see Serial property, series"
Serial property,Serial property,"A serial property is a property nominated
        and/or inscribed in the World Heritage List as a
        series in accordance with Paragraphs 19 and 20 of the
        Operational Guidelines (UNESCO February 1996: 5-6).

see Series"
Serial site,Serial site,"see Serial property, Series"
Sites,Sites,"Sites are referred to as part of the definition of
        cultural heritage in Article 1 of the Convention
        (UNESCO 1972).  Apart from this specific usage, the term
        site is not used in the Convention.
        
        The term site is used interchangeably with property
        in the Operational Guidelines (UNESCO February
        1996).

see Cultural heritage, Property"
Spirit of the Convention,Spirit of the Convention,"The term spirit of the Convention refers to the
        special qualities of the Convention as an
        international heritage protection instrument reliant
        on collective international protection, the notion of
        outstanding universal value, and the conservation
        of both natural and cultural heritage in a
        single protective instrument.

see Convention"
State of conservation,State of conservation,"State of conservation reports for natural and
        cultural properties included in the World Heritage
        List and the List of World Heritage in Danger are
        examined by the World Heritage Committee and its
        Bureau.  State of Conservation reports are
        prepared by the advisory bodies IUCN and
        ICOMOS, the World Heritage Centre and States
        Parties as part of the system of monitoring of
        World Heritage properties.

see Monitoring, Reactive monitoring, Systematic
monitoring and reporting
"
States Parties,States Parties,"States Parties are those Member States of UNESCO
        who have ratified, accepted or acceded to the World
        Heritage Convention.  There were 146 States
        Parties to the Convention as of 19 March 1996
        (UNESCO 19 March 1996)."
Systematic monitoring and reporting,Systematic monitoring and reporting,"One of the essential functions of the World Heritage
        Committee is to monitor the state of
        conservation of properties inscribed in the
        World Heritage List.  The Operational Guidelines
        describe systematic monitoring and reporting and
        reactive monitoring.

                69.  Systematic monitoring and
                reporting is the continuous process of observing the
                conditions of World Heritage sites with periodic
                reporting on its state of conservation (UNESCO February
                1996: 26, Paragraph 69).

        Guidance concerning the objectives, process and importance of
        systematic monitoring and reporting is included in
        Paragraphs 69 to 74 of the Operational Guidelines
        (UNESCO February 1996: 26-27).

see Monitoring, Reactive monitoring, State of
conservation"
Technical evaluations,Technical evaluations,"see Evaluation, ICOMOS evaluation, IUCN
evaluation"
